Date,Open,High,Low,Close,AdjClose,Volume
1992-02-14,5.625,5.6875,5.53125,5.53125,3.9219305515289307,1365600
1992-02-18,5.59375,5.625,5.28125,5.3125,3.76682448387146,1759200
1992-02-19,5.3125,5.375,5.09375,5.25,3.72251033782959,3228800
1992-02-20,5.40625,5.59375,5.34375,5.5,3.899771213531494,1162400
1992-02-21,5.4375,5.53125,5.28125,5.40625,3.833298444747925,882400
1992-02-24,5.40625,5.40625,5.3125,5.375,3.8111412525177,1568000
1992-02-25,5.4375,5.4375,5.28125,5.328125,3.7779035568237305,665600
1992-02-26,5.4375,5.59375,5.40625,5.46875,3.877614974975586,3099200
1992-02-27,5.53125,5.65625,5.46875,5.59375,3.966245412826538,1544800
1992-02-28,5.5625,5.59375,5.34375,5.5,3.899771213531494,2569600
1992-03-02,5.4375,5.5,5.375,5.4375,3.8554558753967285,903200
1992-03-03,5.46875,5.625,5.4375,5.578125,3.9551665782928467,1805600
1992-03-04,5.59375,5.65625,5.4375,5.625,3.988402843475342,3101600
1992-03-05,5.59375,5.59375,5.15625,5.34375,3.788982629776001,1971200
1992-03-06,5.375,5.375,5.0,5.125,3.633878231048584,2252800
1992-03-09,5.125,5.3125,5.0625,5.3125,3.76682448387146,2043200
1992-03-10,5.46875,5.5,5.34375,5.46875,3.877614974975586,1896800
1992-03-11,5.5,5.59375,5.40625,5.484375,3.88869309425354,3029600
1992-03-12,5.46875,5.46875,5.28125,5.34375,3.788982629776001,877600
1992-03-13,5.46875,5.53125,5.375,5.53125,3.9219305515289307,711200
1992-03-16,5.53125,5.59375,5.46875,5.5,3.899771213531494,700000
1992-03-17,5.5625,5.75,5.5,5.75,4.077033996582031,1146400
1992-03-18,5.8125,5.875,5.6875,5.6875,4.032718658447266,2128800
1992-03-19,5.6875,6.0,5.6875,5.9375,4.209981441497803,1258400
1992-03-20,6.0,6.09375,5.8125,5.875,4.165665149688721,2321600
1992-03-23,5.8125,5.875,5.59375,5.625,3.988402843475342,740800
1992-03-24,5.71875,5.78125,5.4375,5.546875,3.9330084323883057,1461600
1992-03-25,5.59375,5.65625,5.5625,5.625,3.988402843475342,924800
1992-03-26,5.59375,5.65625,5.4375,5.46875,3.877614974975586,1085600
1992-03-27,5.5,5.5,5.09375,5.1875,3.6781928539276123,2529600
1992-03-30,5.3125,5.34375,5.0625,5.125,3.633878231048584,3224000
1992-03-31,5.125,5.40625,5.09375,5.34375,3.788982629776001,1556800
1992-04-01,5.25,5.375,5.21875,5.34375,3.788982629776001,2608000
1992-04-02,5.421875,5.46875,5.0,5.0625,3.5895628929138184,2572800
1992-04-03,5.03125,5.15625,4.9375,5.15625,3.656036615371704,2513600
1992-04-06,5.15625,5.375,5.125,5.375,3.8111412525177,1080000
1992-04-07,5.3125,5.34375,4.8125,4.90625,3.478774309158325,2672000
1992-04-08,4.71875,4.9375,4.6875,4.890625,3.4676942825317383,2917600
1992-04-09,4.9375,5.28125,4.875,5.25,3.72251033782959,2677600
1992-04-10,5.375,5.53125,5.3125,5.375,3.8111412525177,4644800
1992-04-13,5.4375,5.625,5.375,5.5625,3.944087505340576,1532000
1992-04-14,5.625,5.9375,5.5625,5.65625,4.010560512542725,2338400
1992-04-15,5.71875,5.890625,5.71875,5.875,4.165665149688721,1757600
1992-04-16,5.90625,5.90625,5.53125,5.53125,3.9219305515289307,4229600
1992-04-20,5.5,5.5,5.0,5.125,3.633878231048584,2835200
1992-04-21,5.21875,5.21875,5.0625,5.15625,3.656036615371704,1444000
1992-04-22,5.15625,5.46875,5.125,5.4375,3.8554558753967285,840800
1992-04-23,5.46875,5.53125,5.21875,5.3125,3.76682448387146,1971200
1992-04-24,5.375,5.375,5.03125,5.21875,3.7003514766693115,1921600
1992-04-27,5.125,5.1875,4.890625,4.890625,3.4676942825317383,3510400
1992-04-28,5.109375,5.15625,4.5,4.78125,3.3901429176330566,5652800
1992-04-29,4.8125,5.21875,4.75,5.15625,3.656036615371704,2692000
1992-04-30,5.21875,5.4375,5.125,5.34375,3.788982629776001,3820000
1992-05-01,5.34375,5.34375,5.125,5.25,3.72251033782959,1815200
1992-05-04,5.34375,5.40625,5.25,5.28125,3.7446670532226562,1361600
1992-05-05,5.328125,5.5,5.28125,5.4375,3.8554558753967285,1958400
1992-05-06,5.4375,5.5,5.21875,5.234375,3.7114293575286865,1524800
1992-05-07,5.21875,5.28125,4.90625,4.9375,3.500932216644287,3164800
1992-05-08,5.0,5.0625,4.84375,4.9375,3.500932216644287,2212800
1992-05-11,4.90625,4.96875,4.75,4.9375,3.500932216644287,2276000
1992-05-12,4.96875,4.96875,4.8125,4.875,3.4566164016723633,1068000
1992-05-13,4.875,4.875,4.6875,4.75,3.3679845333099365,4087200
1992-05-14,4.78125,4.78125,4.4375,4.53125,3.2128796577453613,8232000
1992-05-15,4.5,4.71875,4.4375,4.59375,3.257195472717285,3744000
1992-05-18,4.71875,4.78125,4.65625,4.71875,3.345827102661133,808800
1992-05-19,4.71875,4.75,4.5625,4.65625,3.301511287689209,1836000
1992-05-20,4.78125,5.125,4.75,5.09375,3.6117196083068848,4567200
1992-05-21,5.0625,5.09375,4.875,5.03125,3.5674047470092773,2792800
1992-05-22,5.0,5.03125,4.96875,4.984375,3.5341687202453613,592000
1992-05-26,4.96875,5.03125,4.875,4.921875,3.4898524284362793,1253600
1992-05-27,4.96875,5.046875,4.9375,5.046875,3.5784833431243896,1355200
1992-05-28,5.0,5.171875,4.9375,5.15625,3.656036615371704,1580000
1992-05-29,5.1875,5.453125,5.125,5.296875,3.7557458877563477,2987200
1992-06-01,5.28125,5.46875,5.1875,5.4375,3.8554558753967285,2166400
1992-06-02,5.5,5.53125,5.359375,5.4375,3.8554558753967285,3564000
1992-06-03,5.40625,5.46875,5.3125,5.3125,3.76682448387146,1009600
1992-06-04,5.34375,5.34375,5.1875,5.3125,3.76682448387146,1424000
1992-06-05,5.3125,5.4375,5.28125,5.28125,3.7446670532226562,768800
1992-06-08,5.3125,5.3125,5.09375,5.125,3.633878231048584,896000
1992-06-09,5.1875,5.25,5.0,5.0,3.5452468395233154,2195200
1992-06-10,5.03125,5.125,5.03125,5.0625,3.5895628929138184,586400
1992-06-11,5.03125,5.125,4.8125,4.953125,3.512009859085083,4248800
1992-06-12,5.03125,5.21875,4.96875,5.125,3.633878231048584,1887200
1992-06-15,5.09375,5.34375,5.09375,5.34375,3.788982629776001,1728000
1992-06-16,5.28125,5.34375,5.0625,5.09375,3.6117196083068848,1279200
1992-06-17,5.125,5.125,4.75,4.796875,3.4012207984924316,3758400
1992-06-18,4.8125,5.125,4.8125,5.0,3.5452468395233154,5633600
1992-06-19,5.09375,5.125,4.875,4.890625,3.4676942825317383,1602400
1992-06-22,4.8125,4.96875,4.75,4.921875,3.4898524284362793,1572000
1992-06-23,5.125,5.125,4.96875,5.03125,3.5674047470092773,2229600
1992-06-24,4.96875,5.0625,4.8125,4.8125,3.4123001098632812,1614400
1992-06-25,4.9375,4.9375,4.5,4.625,3.279353141784668,5733600
1992-06-26,4.53125,4.734375,4.328125,4.390625,3.1131703853607178,5627200
1992-06-29,4.46875,4.96875,4.4375,4.921875,3.4898524284362793,4428800
1992-06-30,4.875,4.9375,4.6875,4.75,3.3679845333099365,3429600
1992-07-01,4.6875,5.0,4.625,4.9375,3.500932216644287,3911200
1992-07-02,5.0,5.0,4.5625,4.6875,3.323669195175171,9586400
1992-07-06,4.65625,4.65625,4.3125,4.390625,3.1131703853607178,5691200
1992-07-07,3.71875,3.90625,3.625,3.75,2.658935070037842,18805600
1992-07-08,3.6875,3.75,3.5,3.65625,2.5924618244171143,7451200
1992-07-09,3.6875,3.84375,3.625,3.796875,2.692171812057495,3881600
1992-07-10,3.8125,3.875,3.6875,3.71875,2.636777400970459,3563200
1992-07-13,3.75,4.0,3.6875,3.9375,2.791882276535034,4409600
1992-07-14,4.0,4.15625,3.875,4.140625,2.935908079147339,4639200
1992-07-15,4.15625,4.15625,4.0,4.0625,2.8805134296417236,2966400
1992-07-16,4.03125,4.21875,4.03125,4.1875,2.969144105911255,3370400
1992-07-17,4.09375,4.1875,4.03125,4.1875,2.969144105911255,2690400
1992-07-20,4.109375,4.109375,3.8125,3.90625,2.7697243690490723,3166400
1992-07-21,4.0,4.0625,3.4375,3.46875,2.4595155715942383,4788000
1992-07-22,2.96875,3.0,2.53125,2.59375,1.8390964269638062,37455200
1992-07-23,2.59375,2.78125,2.5625,2.59375,1.8390964269638062,23088000
1992-07-24,2.59375,2.625,2.4375,2.515625,1.7837023735046387,7317600
1992-07-27,2.5625,2.5625,2.25,2.3125,1.639676570892334,12143200
1992-07-28,2.375,2.5625,2.34375,2.546875,1.8058598041534424,9999200
