Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MSFT,MSFT,Software - Infrastructure,124.73,24.409002,0.014592622,4.51,131.37,93.96,955783512064,17.918,7.820765,10.079192,
AAPL,AAPL,Consumer Electronics,188.66,14.716069,0.015722593,11.89,233.47,142,868039720960,12.15,3.358117,8.21082,
AMZN,AMZN,Specialty Retail,1840.12,48.322475,,23.95,2050.5,1307,905949937664,33.04,3.7506466,18.701548,
FB,FB,Internet Content & Information,180.73,19.39163,,6.7299999999999995,218.62,123.02,515891986432,18.193,8.751496,5.966065,
BRK-B,BRK-B,Insurance - Diversified,203.74,18.471443,,10.16,224.07,184.75,501145403392,-0.262,1.9988409,0.0009035425,
JPM,JPM,Banks - Global,110.34,10.389831,0.027044313,9.26,119.24,91.11,357887770624,,3.4126801,1.5370256,
JNJ,JNJ,Drug Manufacturers - Major,136.84,14.971553,0.026239067,8.22,148.99,118.62,363318411264,13.527,4.4528136,6.163964,
GOOG,GOOG,Internet Content & Information,1120.44,20.849272,,39.870000000000005,1289.27,970.11,778830086144,16.778,5.4842553,4.2429495,
GOOGL,GOOGL,Internet Content & Information,1124.86,20.99011,,39.870000000000005,1296.97,977.66,779644960768,16.834,5.489993,4.2596874,
XOM,XOM,Oil & Gas Integrated,75.83,13.888279,0.043323208,4.34,87.36,64.65,320843546624,9.882,1.1644088,1.6778777,
V,V,Credit Services,160.3,25.813206,0.006101824,5.02,165.74,121.6,350318034944,24.781,16.163054,12.1753,
BAC,BAC,Banks - Global,28.63,9.088888,0.020176992,2.69,31.91,22.66,272219766784,,3.0777032,1.1195838,
PG,PG,Household & Personal Products,105.59,22.276371,0.027037978,4.37,107.2,72.6,264854552576,16.332,3.9475737,4.89205,
CSCO,CSCO,Communication Equipment,52.02,15.3905325,0.025730995,2.84,57.53,40.25,228993613824,14.439,4.5055313,5.642082,
DIS,DIS,Media - Diversified,133.21,20.912088,0.0067001674,6.800000000000001,142.37,98.81,239738044416,17.495,4.0116806,2.6378741,
VZ,VZ,Telecom Services,56.56,11.661857,0.042237885,4.74,61.58,47.13,233915760640,7.025,1.7826364,4.1877685,
PFE,PFE,Drug Manufacturers - Major,40.67,13.511627,0.034015283,3.08,46.47,35.32,225791688704,11.703,4.192274,3.8444083,
INTC,INTC,Semiconductors,45.17,9.884026,0.027144775,4.609999999999999,59.59,42.36,202226089984,6.879,2.854567,2.745396,
HD,HD,Home Improvement Stores,191.66,17.376247,0.023379216,9.89,215.43,158.09,211351142400,13.249,1.9532835,,
MA,MA,Credit Services,245.81,27.342604,0.0048057004,6.7700000000000005,257.43,171.89,251075248128,27.61,16.45424,48.70418,
T,T,Telecom Services,31.09,8.541208,0.066294715,3.53,34.53,26.8,226894823424,7.311,1.2779567,1.2256081,
UNH,UNH,Health Care Plans,236.38,14.222623,0.015028177,13.56,287.94,208.07,224642072576,12.801,0.9709339,4.355228,
CVX,CVX,Oil & Gas Integrated,121.66,13.904,0.037778147,7.2299999999999995,130.39,100.22,231751352320,7.893,1.4749677,1.4945946,
MRK,MRK,Drug Manufacturers - Major,77.43,14.581922,0.025787223,4.51,83.85,57.49,199354384384,14.572,4.628291,7.262921,
WFC,WFC,Banks - Global,46.49,9.00969,0.036693286,4.4,59.53,43.02,208941875200,,2.495812,1.191013,
BA,BA,Aerospace & Defense,343.14,15.210108,0.021297092,15.55,446.01,292.47,193060864000,15.445,1.917912,1545.6758,
CMCSA,CMCSA,Pay TV,42.91,12.847305,0.018448438,2.7,43.96,30.67,194759475200,9.731,1.9757491,2.5980866,
KO,KO,Beverages - Soft Drinks,48.69,21.544247,0.032674298,2.0999999999999996,50.84,41.45,207716892672,22.576,6.440834,11.7184105,
PEP,PEP,Beverages - Soft Drinks,127.41,21.34171,0.02917584,5.66,128.51,96.36,178605899776,15.909,2.748502,12.596145,
C,C,Banks - Global,65.28,7.5818815,0.025939733,6.84,75.24,48.42,150958047232,,2.3201828,0.8467804,
NFLX,NFLX,Media - Diversified,345.61,58.977814,,2.8,423.21,231.23,151107600384,97.154,9.094935,26.493675,
MCD,MCD,Restaurants,198.03,22.735935,0.02180576,7.779999999999999,200.36,153.13,151206985728,19.241,7.254952,,
WMT,WMT,Discount Stores,100.31,20.102205,0.020822905,4.92,106.21,81.78,287600803840,10.682,0.5590941,3.9821355,
ORCL,ORCL,Software - Infrastructure,54.15,14.363396,0.014224218,3.37,55.53,42.4,185065750528,12.21,4.6462746,7.8614984,
ABT,ABT,Medical Devices,76.02,21.116667,0.01589404,2.92,80.74,60.32,134112952320,20.831,4.3652296,4.3368134,
ADBE,ADBE,Software - Application,271.86,28.055727,,6.93,291.71,204.95,132654350336,42.125,13.887589,13.453087,
PM,PM,Tobacco,84.06,15.091561,0.05448029,5.1899999999999995,92.74,64.67,130780553216,13.487,4.436247,,
PYPL,PYPL,Credit Services,109.09,31.079771,,2.63,113.69,74.66,128173113344,44.005,8.064245,8.435011,
UNP,UNP,Railroads,174.5,16.859903,0.018685605,8.18,180.02,128.08,123517730816,14.028,5.4314995,6.968015,
AVGO,AVGO,Semiconductors,302,11.461101,0.02999523,21.259999999999998,323.2,197.46,119545495552,15.393,5.609831,5.1495414,
